"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1231","test_delete_a_not_found_proj","API_Testing","Fri Sep 26 20:12:24 UTC 2025","passed","Fri Sep 26 20:12:25 UTC 2025","TestProjects","test_projects","",""
"","1237","test_update_a_non_existing_key","API_Testing","Fri Sep 26 20:12:25 UTC 2025","passed","Fri Sep 26 20:12:26 UTC 2025","TestProjects","test_projects","",""
"","2506","test_update_key","API_Testing","Fri Sep 26 20:12:26 UTC 2025","passed","Fri Sep 26 20:12:29 UTC 2025","TestProjects","test_projects","",""
"","383","test_health","API_Testing","Fri Sep 26 20:12:20 UTC 2025","passed","Fri Sep 26 20:12:20 UTC 2025","TestSonarHealth","test_health","",""
"","177","test_unauth_health","API_Testing","Fri Sep 26 20:12:20 UTC 2025","passed","Fri Sep 26 20:12:20 UTC 2025","TestSonarHealth","test_health","",""
"","3792","test_create_search_delete_project","API_Testing","Fri Sep 26 20:12:20 UTC 2025","passed","Fri Sep 26 20:12:24 UTC 2025","TestProjects","test_projects","",""
"","932","test_success_login","API_Testing","Fri Sep 26 20:12:19 UTC 2025","passed","Fri Sep 26 20:12:20 UTC 2025","TestAuthentication","test_authentication","",""
"","372","test_logout","API_Testing","Fri Sep 26 20:12:18 UTC 2025","passed","Fri Sep 26 20:12:19 UTC 2025","TestAuthentication","test_authentication","",""
"","336","test_bad_login","API_Testing","Fri Sep 26 20:12:18 UTC 2025","passed","Fri Sep 26 20:12:18 UTC 2025","TestAuthentication","test_authentication","",""
"","2316","test_update_visibility","API_Testing","Fri Sep 26 20:12:29 UTC 2025","passed","Fri Sep 26 20:12:31 UTC 2025","TestProjects","test_projects","",""
